Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-08-01 19:17:16.997790,2821.4848482,0,4017.66666626,0,1707.72727256,0,1903.99999981,0,2904.42424213,0,3065.15151485,0,3215.06060574,0,3530.33333298,0,4327.78787836,0,3788.93939356,0,2935.84848455,0,1309.51515138,2909.57575728,4263.39393897,0,3784.81818144,0,42.0,42.0,?
2017-08-01 19:17:16.999448,4563.72727227,0,4286.57575715,0,3951.21212082,0,3881.66666628,0,4319.54545411,0,4477.69696925,0,4223.21212079,0,4364.36363593,0,4997.9999995,0,4216.51515109,0,4413.81818138,0,4331.39393896,2909.57575728,4868.69696921,0,4504.48484803,0,42.0,42.0,?
2017-08-01 19:17:17.003831,4557.54545409,0,4277.81818139,0,3947.0909087,0,3888.87878749,0,4308.21212078,0,4471.51515107,0,4219.60606018,0,4365.39393896,0,4988.72727223,0,4212.90909049,0,4412.27272683,0,4329.3333329,2909.57575728,4862.51515103,0,4484.39393895,0,42.0,42.0,?
2017-08-01 19:17:17.007385,4544.1515147,0,4276.78787836,0,3944.51515112,0,3869.30302992,0,4304.60606018,0,4470.48484804,0,4215.99999958,0,4365.39393896,0,4985.12121162,0,4204.15151473,0,4404.03030259,0,4330.36363593,2909.57575728,4857.36363588,0,4495.72727228,0,42.0,42.0,?
2017-08-01 19:17:17.009788,4537.454545,0,4281.93939351,0,3940.90909052,0,3858.99999961,0,4304.09090866,0,4469.96969652,0,4219.60606018,0,4365.90909047,0,4992.33333283,0,4201.06060564,0,4399.39393895,0,4332.93939351,2909.57575728,4852.21212073,0,4507.57575713,0,42.0,42.0,?
2017-08-01 19:17:17.012956,4549.81818136,0,4280.39393897,0,3945.03030264,0,3866.21212083,0,4310.27272684,0,4472.03030258,0,4228.36363594,0,4375.18181774,0,5010.87878738,0,4217.54545412,0,4406.60606017,0,4334.48484805,2909.57575728,4858.90909042,0,4502.93939349,0,42.0,42.0,?
2017-08-01 19:17:17.016684,4559.60606015,0,4282.45454503,0,3950.18181779,0,3867.75757537,0,4321.09090866,0,4479.75757531,0,4229.39393897,0,4381.87878744,0,5013.45454495,0,4227.84848443,0,4408.66666623,0,4334.48484805,2909.57575728,4865.60606012,0,4499.33333288,0,42.0,42.0,?
2017-08-01 19:17:17.020659,4550.84848439,0,4283.48484806,0,3944.51515112,0,3864.15151477,0,4326.24242381,0,4488.51515107,0,4229.39393897,0,4377.75757532,0,4994.39393889,0,4221.15151473,0,4407.12121168,0,4334.99999957,2909.57575728,4863.54545406,0,4498.30302985,0,42.0,42.0,?
2017-08-01 19:17:17.024057,4547.7575753,0,4283.99999957,0,3945.54545415,0,3869.81818143,0,4322.6363632,0,4490.06060561,0,4230.93939352,0,4371.57575714,0,4989.24242374,0,4213.93939352,0,4416.90909047,0,4335.51515108,2909.57575728,4866.63636315,0,4496.24242379,0,42.0,42.0,?
2017-08-01 19:17:17.028600,4561.66666621,2946.66666637,4286.57575715,0,3952.75757536,0,3878.06060567,0,4324.18181775,0,4487.48484804,0,4231.96969655,0,4376.72727229,0,5008.3030298,0,4220.63636321,0,4425.15151471,0,4333.96969654,2909.57575728,4881.06060557,0,4501.90909046,0,42.0,42.0,?
2017-08-01 19:17:17.031592,4565.27272682,2946.66666637,4284.51515109,1013.81818172,3948.63636324,0,3870.84848446,0,4329.84848442,0,4493.1515147,0,4236.60606018,0,4381.36363593,0,5020.15151465,0,4234.54545412,0,4423.09090865,0,4333.96969654,2909.57575728,4888.27272678,0,4509.12121167,0,42.0,42.0,?
2017-08-01 19:17:17.034706,4554.454545,2946.66666637,4284.51515109,1013.81818172,3942.96969658,0,3861.06060567,0,4324.18181775,0,4494.69696925,0,4233.51515109,0,4370.54545411,0,5007.27272677,0,4235.06060564,0,4423.60606016,0,4335.51515108,2909.57575728,4884.66666618,0,4508.60606016,4075.87878747,42.0,42.0,?
2017-08-01 19:17:17.037620,4547.7575753,2946.66666637,4286.57575715,1013.81818172,3942.96969658,2719.99999973,3864.15151477,0,4316.96969654,0,4483.87878743,0,4217.54545412,0,4356.12121169,0,4994.90909041,0,4219.60606018,0,4413.81818138,0,4332.42424199,2909.57575728,4877.96969648,0,4504.48484803,4075.87878747,42.0,42.0,?
2017-08-01 19:17:17.040551,4546.72727227,2946.66666637,4285.0303026,1013.81818172,3939.87878748,2719.99999973,3864.66666628,3041.45454515,4315.93939351,0,4470.48484804,0,4203.63636322,0,4353.03030259,0,4991.3030298,0,4207.75757534,0,4394.75757532,0,4328.81818139,2909.57575728,4868.1818177,0,4489.03030258,4075.87878747,42.0,42.0,?
2017-08-01 19:17:17.044245,4548.78787833,2946.66666637,4285.54545412,1013.81818172,3941.42424203,2719.99999973,3858.4848481,3041.45454515,4312.84848442,4203.63636322,4467.39393895,0,4207.24242382,0,4358.69696926,0,4985.12121162,0,4211.36363594,0,4405.06060562,0,4330.36363593,2909.57575728,4863.03030254,0,4481.30302985,4075.87878747,42.0,42.0,?
