Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-07-31 18:54:35.966647,4551.87878742,0,4272.66666624,0,3937.30302991,0,3916.18181779,0,4291.7272723,0,4814.60606012,0,4201.57575716,0,4331.39393896,0,4985.63636314,0,4183.54545413,0,4444.21212077,0,4242.27272685,0,4856.33333285,0,4476.66666622,0,42.0,42.0,?
2017-07-31 18:54:35.969473,4524.57575712,0,4249.48484806,0,3942.96969658,0,3918.24242385,0,4306.66666624,0,5247.33333281,0,4196.93939352,0,4344.27272684,0,5105.66666616,0,4163.96969655,0,4406.09090865,0,4233.51515109,0,4829.54545406,0,4472.03030258,0,42.0,42.0,?
2017-07-31 18:54:35.972752,4527.66666621,0,4231.45454503,0,3942.45454506,0,3931.63636324,0,4326.75757532,0,5258.66666614,0,4198.48484806,0,4354.57575714,0,5121.12121161,0,4184.57575716,0,4431.33333289,0,4232.48484806,0,4842.42424194,0,4483.36363592,0,42.0,42.0,?
2017-07-31 18:54:35.975797,4521.99999955,0,4250.51515109,0,3932.15151476,0,3916.69696931,0,4314.39393896,0,5245.27272675,0,4189.72727231,0,4347.87878744,0,5118.03030252,0,4203.1212117,0,4416.39393895,0,4237.1212117,0,4830.06060558,0,4473.57575713,0,42.0,42.0,?
2017-07-31 18:54:35.980833,4520.454545,0,4248.45454503,0,3949.15151476,0,3917.72727234,0,4307.18181775,0,5237.54545402,0,4186.63636322,0,4347.36363593,0,5113.9090904,0,4201.06060564,0,4406.60606017,0,4236.60606018,0,4831.09090861,0,4473.06060561,0,42.0,42.0,?
2017-07-31 18:54:35.986088,4532.30302985,0,4244.84848442,0,3962.03030263,0,3932.15151476,0,4320.06060563,0,5235.48484796,0,4187.66666625,0,4357.66666623,0,5127.81818131,0,4196.93939352,0,4425.66666622,0,4235.57575715,0,4849.12121164,0,4491.09090864,0,42.0,42.0,?
2017-07-31 18:54:35.991502,4536.42424197,0,4257.7272723,0,3931.63636324,0,3914.63636324,0,4306.66666624,0,5205.09090857,0,4171.69696928,0,4346.3333329,0,5121.12121161,0,4183.54545413,0,4421.5454541,0,4233.51515109,0,4847.06060558,0,4486.96969652,0,42.0,42.0,?
2017-07-31 18:54:35.993834,4535.39393894,0,4234.03030261,0,3941.93939355,0,3932.66666627,0,4312.84848442,0,5200.96969645,0,4194.36363594,0,4364.36363593,0,5138.63636312,0,4206.72727231,0,4423.09090865,0,4231.45454503,0,4846.54545406,0,4491.60606016,0,42.0,42.0,?
2017-07-31 18:54:35.997705,4535.39393894,0,4246.90909048,0,3954.81818142,0,3935.24242385,0,4303.57575715,0,5190.66666615,0,4192.30302988,0,4362.81818138,0,5140.18181767,0,4203.63636322,0,4424.12121168,0,4238.15151473,0,4850.66666618,0,4501.39393894,0,42.0,42.0,?
2017-07-31 18:54:36.001089,4536.93939349,0,4248.96969654,0,3966.15151475,0,3936.78787839,0,4315.93939351,0,5197.36363584,0,4197.45454503,0,4363.84848441,0,5149.96969645,0,4197.96969655,0,4433.90909047,0,4236.60606018,0,4855.30302982,0,4511.18181773,0,42.0,42.0,?
